brand,disc_name,speed,glide,turn,fade
DGA,pipeline,8,5,0,2
DGA,powerdrive,2,2,-2,1
DGA,proline breaker,4,3,0,3
DGA,quake,5,3,0,3
DGA,reef,2,2,-1,1
DGA,sail,11,5,-4,1
DGA,steady,2,4,0,2
DGA,tempest,13,5,-3,2
DGA,titanic,2,2,0,2
DGA,torrent,14,5,-1,2
DGA,tremor,6,5,-4,1
DGA,tsunami,10,3,0,4
DGA,undertow,10,4,-1,1
disc king,lex,2,3,0,1
discmania,cd,10,5,-1,2
discmania,CD2,9,5,-1,2
discmania,cd3,11,5,-1,2
discmania,DD,11,5,0,2
discmania,dd2,13,5,-2,2
discmania,DDx,12,6,-1,2
discmania,FD,7,6,-1,1
discmania,FD2,7,4,0,2
discmania,FD3,9,4,0,3
discmania,md,4,5,0,0
discmania,md1,4,4,0,2
discmania,md2,4,5,0,2
discmania,MD3,5,5,0,2
discmania,MD4,5,4,0,3
discmania,MD5,5,3,0,4
discmania,p1,2,3,0,0
discmania,p1x,2,3,0,0
discmania,p2,2,3,0,2
discmania,p3,3,2,0,3
discmania,p3x,3,2,0,3
discmania,PD,10,4,0,3
discmania,PDx,11,4,0,3
discmania,PD2,12,4,0,4
discmania,TD,10,5,-2,1
discmania,td2,10,5,-4,1
discmania,TDx,9,5,-3,1
discraft,apx,2,3,-1,1
discraft,archer,5,4,-4,1
discraft,avenger,10,5,0,3
discraft,avenger SS,10,5,-3,1
discraft,banger-gt,2,3,0,1
discraft,buzzz,5,4,-1,1
discraft,Buzzz OS,5,4,0,3
discraft,buzzz ss,5,4,-2,1
discraft,buzzz gt,5,5,0,1
discraft,challenger,2,3,0,2
discraft,challenger os,3,5,0,2.5
discraft,challenger ss,2,4,-1,2
discraft,comet,4,5,-2,1
discraft,crank,12,5,-1,2
discraft,crank ss,13,5,-3,2
discraft,crush,11,5,0,4
discraft,cyclone,7,4,-1,3
discraft,drone,5,4,0,4
discraft,eclipse,7,5,-2,2
discraft,flash,10,5,-2,3
discraft,flick,9,4,1,4
discraft,focus,2,3,-1,2
discraft,force,12,5,0,3
discraft,glide,6,5,-3,1
discraft,impact,5,5,-2,2
discraft,heat,9,6,-3,1
discraft,hornet,5,5,0,4
discraft,kong,12,5,-1,3
discraft,luna,3,4,0,2
discraft,machete,11,4,0,4
discraft,magnet,2,3,-1,2
discraft,mantis,8,4,-2,2
discraft,meteor,5,5,-3,1
discraft,nuke,13,5,-1,3
discraft,Nuke OS,13,4,0,4
discraft,nuke ss,13,5,-3,3
discraft,predator,9,4,0,4
discraft,pulse,11,4,0,3
discraft,punisher,12,5,0,3
discraft,putt'r,2,3,-2,1
discraft,rattler putter,2,3,-1,1
discraft,ringer,3,4,0,2
discraft,Ringer GT,4,4,0,3
discraft,roach,2,4,0,1
DGA,rogue,11,4,-1,2
DGA,squall,6,4,-1,1
discraft,stratus,5,5,-3,1
discraft,sting,7,5,-2,1
discraft,surge,11,5,-1,3
discraft,surge ss,11,5,-1,2
discraft,thrasher,12,5,-3,2
discraft,undertaker,9,5,-1,2
discraft,vulture,10,5,0,2
discraft,wasp,5,5,0,3
discraft,xl,8,5,-1,2
discraft,xpress,8,5,-3,1
discraft,xs,8,5,-2,3
discraft,zone,4,3,0,3
discraft,zombee,6,4,-1,1
dynamic discs,breakout,8,5,-1,1.5
dynamic discs,captain,13,5,-2,2
dynamic discs,convict,9,4,-0.5,3
dynamic discs,criminal,10,3,1,4
dynamic discs,defender,13,5,0,3
