Brand,Disc_name,Speed,Glide,Turn,Fade
DGA,pipeline,8.0,5.0,0.0,2.0
DGA,powerdrive,2.0,2.0,-2.0,1.0
DGA,proline breaker,4.0,3.0,0.0,3.0
DGA,quake,5.0,3.0,0.0,3.0
DGA,reef,2.0,2.0,-1.0,1.0
DGA,sail,11.0,5.0,-4.0,1.0
DGA,steady,2.0,4.0,0.0,2.0
DGA,tempest,13.0,5.0,-3.0,2.0
DGA,titanic,2.0,2.0,0.0,2.0
DGA,torrent,14.0,5.0,-1.0,2.0
DGA,tremor,6.0,5.0,-4.0,1.0
DGA,tsunami,10.0,3.0,0.0,4.0
DGA,undertow,10.0,4.0,-1.0,1.0
disc king,lex,2.0,3.0,0.0,1.0
discmania,cd,10.0,5.0,-1.0,2.0
discmania,CD2,9.0,5.0,-1.0,2.0
discmania,cd3,11.0,5.0,-1.0,2.0
discmania,DD,11.0,5.0,0.0,2.0
discmania,dd2,13.0,5.0,-2.0,2.0
discmania,DDx,12.0,6.0,-1.0,2.0
discmania,FD,7.0,6.0,-1.0,1.0
discmania,FD2,7.0,4.0,0.0,2.0
discmania,FD3,9.0,4.0,0.0,3.0
discmania,md,4.0,5.0,0.0,0.0
discmania,md1,4.0,4.0,0.0,2.0
discmania,md2,4.0,5.0,0.0,2.0
discmania,MD3,5.0,5.0,0.0,2.0
discmania,MD4,5.0,4.0,0.0,3.0
discmania,MD5,5.0,3.0,0.0,4.0
discmania,p1,2.0,3.0,0.0,0.0
discmania,p1x,2.0,3.0,0.0,0.0
discmania,p2,2.0,3.0,0.0,2.0
discmania,p3,3.0,2.0,0.0,3.0
discmania,p3x,3.0,2.0,0.0,3.0
discmania,PD,10.0,4.0,0.0,3.0
discmania,PDx,11.0,4.0,0.0,3.0
discmania,PD2,12.0,4.0,0.0,4.0
discmania,TD,10.0,5.0,-2.0,1.0
discmania,td2,10.0,5.0,-4.0,1.0
discmania,TDx,9.0,5.0,-3.0,1.0
discraft,apx,2.0,3.0,-1.0,1.0
discraft,archer,5.0,4.0,-4.0,1.0
discraft,avenger,10.0,5.0,0.0,3.0
discraft,avenger SS,10.0,5.0,-3.0,1.0
discraft,banger-gt,2.0,3.0,0.0,1.0
discraft,buzzz,5.0,4.0,-1.0,1.0
discraft,Buzzz OS,5.0,4.0,0.0,3.0
discraft,buzzz ss,5.0,4.0,-2.0,1.0
discraft,buzzz gt,5.0,5.0,0.0,1.0
discraft,challenger,2.0,3.0,0.0,2.0
discraft,challenger os,3.0,5.0,0.0,2.5
discraft,challenger ss,2.0,4.0,-1.0,2.0
discraft,comet,4.0,5.0,-2.0,1.0
discraft,crank,12.0,5.0,-1.0,2.0
discraft,crank ss,13.0,5.0,-3.0,2.0
discraft,crush,11.0,5.0,0.0,4.0
discraft,cyclone,7.0,4.0,-1.0,3.0
discraft,drone,5.0,4.0,0.0,4.0
discraft,eclipse,7.0,5.0,-2.0,2.0
discraft,flash,10.0,5.0,-2.0,3.0
discraft,flick,9.0,4.0,1.0,4.0
discraft,focus,2.0,3.0,-1.0,2.0
discraft,force,12.0,5.0,0.0,3.0
discraft,glide,6.0,5.0,-3.0,1.0
discraft,impact,5.0,5.0,-2.0,2.0
discraft,heat,9.0,6.0,-3.0,1.0
discraft,hornet,5.0,5.0,0.0,4.0
discraft,kong,12.0,5.0,-1.0,3.0
discraft,luna,3.0,4.0,0.0,2.0
discraft,machete,11.0,4.0,0.0,4.0
discraft,magnet,2.0,3.0,-1.0,2.0
discraft,mantis,8.0,4.0,-2.0,2.0
discraft,meteor,5.0,5.0,-3.0,1.0
discraft,nuke,13.0,5.0,-1.0,3.0
discraft,Nuke OS,13.0,4.0,0.0,4.0
discraft,nuke ss,13.0,5.0,-3.0,3.0
discraft,predator,9.0,4.0,0.0,4.0
discraft,pulse,11.0,4.0,0.0,3.0
discraft,punisher,12.0,5.0,0.0,3.0
discraft,putt'r,2.0,3.0,-2.0,1.0
discraft,rattler putter,2.0,3.0,-1.0,1.0
discraft,ringer,3.0,4.0,0.0,2.0
discraft,Ringer GT,4.0,4.0,0.0,3.0
discraft,roach,2.0,4.0,0.0,1.0
DGA,rogue,11.0,4.0,-1.0,2.0
DGA,squall,6.0,4.0,-1.0,1.0
discraft,stratus,5.0,5.0,-3.0,1.0
discraft,sting,7.0,5.0,-2.0,1.0
discraft,surge,11.0,5.0,-1.0,3.0
discraft,surge ss,11.0,5.0,-1.0,2.0
discraft,thrasher,12.0,5.0,-3.0,2.0
discraft,undertaker,9.0,5.0,-1.0,2.0
discraft,vulture,10.0,5.0,0.0,2.0
discraft,wasp,5.0,5.0,0.0,3.0
discraft,xl,8.0,5.0,-1.0,2.0
discraft,xpress,8.0,5.0,-3.0,1.0
discraft,xs,8.0,5.0,-2.0,3.0
discraft,zone,4.0,3.0,0.0,3.0
discraft,zombee,6.0,4.0,-1.0,1.0
dynamic discs,breakout,8.0,5.0,-1.0,1.5
dynamic discs,captain,13.0,5.0,-2.0,2.0
dynamic discs,convict,9.0,4.0,-0.5,3.0
dynamic discs,criminal,10.0,3.0,1.0,4.0
dynamic discs,defender,13.0,5.0,0.0,3.0
dynamic discs,deputy,3.0,4.0,-1.5,0.0
dynamic discs,emac truth,5.0,5.0,0.0,2.0
dynamic discs,enforcer,12.0,4.0,0.5,4.0
dynamic discs,escape,9.0,5.0,-1.0,2.0
dynamic discs,evidence,5.0,5.0,-1.0,0.0
dynamic discs,felon,9.0,3.0,0.5,4.0
dynamic discs,freedom,14.0,5.0,-3.0,3.0
dynamic discs,gavel,3.0,5.0,-2.0,0.5
dynamic discs,getaway,9.0,5.0,-0.5,3.0
dynamic discs,guard,2.0,5.0,0.0,0.5
dynamic discs,judge,2.0,4.0,0.0,1.0
dynamic discs,justice,5.0,3.0,0.5,4.0
dynamic discs,marshal,3.0,4.0,0.0,1.0
dynamic discs,maverick,7.0,5.5,-1.5,2.0
dynamic discs,patrol,5.0,5.0,-3.0,1.0
dynamic discs,proof,5.0,5.0,-3.0,1.0
dynamic discs,renegade,11.0,5.0,-1.5,2.5
dynamic discs,sheriff,13.0,5.0,-1.0,2.0
dynamic discs,slammer,3.0,2.0,0.0,3.0
dynamic discs,suspect,4.0,3.0,0.0,3.0
dynamic discs,thief,8.0,5.0,-1.5,2.0
dynamic discs,trespass,12.0,5.0,-0.5,3.0
dynamic discs,truth,5.0,5.0,-1.0,1.0
dynamic discs,vandal,9.0,5.0,-1.5,2.0
dynamic discs,verdict,5.0,4.0,0.0,3.5
dynamic discs,warden,2.0,4.0,0.0,0.5
dynamic discs,warrant,5.0,5.0,-2.0,0.0
dynamic discs,witness,8.0,6.0,-3.0,1.0
element discs,chromium,9.0,5.0,-1.0,1.0
element discs,iridium,2.0,3.0,0.0,2.0
element discs,lithium,5.0,4.0,-2.0,1.0
element discs,plutonium,3.0,3.0,0.0,1.0
element discs,radium,6.0,4.0,-1.0,2.0
element discs,uranium,4.0,2.0,0.0,2.0
fly high discs,ak-47,3.0,4.0,0.0,1.0
fly high discs,diesel,11.0,5.0,0.0,3.0
fly high discs,jack the ripper,9.0,5.0,0.0,1.0
fly high discs,kgb,5.0,5.0,-1.0,1.0
fly high discs,pure o.g.,6.0,4.0,-1.0,2.0
fly high discs,train wreck,13.0,5.0,-2.0,2.0
fly high discs,white widow,3.0,4.0,-1.0,0.0
full turn discs,cruise,13.0,4.0,-2.0,3.0
full turn discs,drifter,9.0,4.0,-1.0,2.0
full turn discs,navigator,5.0,4.0,-1.0,2.0
full turn discs,passport,4.0,4.0,-1.0,1.0
full turn discs,traveler,9.0,4.0,0.0,2.0
full turn discs,voyage,12.0,5.0,0.0,3.0
galaxy disc golf,magneton,2.0,3.0,0.0,2.0
galaxy disc golf,meteorite,11.0,6.0,-5.0,1.0
galaxy disc golf,orbit,5.0,4.0,0.0,3.0
galaxy disc golf,satellite,3.0,4.0,0.0,1.0
galaxy disc golf,shooting star,7.0,5.0,-2.0,1.0
gateway disc sports,apex,12.0,6.0,-1.0,2.0
gateway disc sports,assassin,9.0,6.0,-1.0,1.0
gateway disc sports,blaze,6.0,4.0,0.0,3.0
gateway disc sports,chief,3.0,3.0,0.0,1.0
gateway disc sports,chief os,3.0,3.0,0.0,2.0
gateway disc sports,demon,6.0,3.0,0.0,4.0
gateway disc sports,devilhawk,3.0,3.0,0.0,2.0
gateway disc sports,diablo,9.0,5.0,0.0,2.0
gateway disc sports,diablo dt,11.0,5.0,-1.0,2.0
gateway disc sports,element,5.0,5.0,-1.0,1.0
gateway disc sports,element x,5.0,5.0,-1.0,1.0
gateway disc sports,illusion,12.0,5.0,-1.0,2.0
gateway disc sports,journey ls,12.0,6.0,-2.0,1.0
gateway disc sports,magic,2.0,3.0,-1.0,0.0
gateway disc sports,mystic,5.0,5.0,-2.0,0.0
gateway disc sports,ninja,11.0,5.0,0.0,2.0
gateway disc sports,prophecy,5.0,5.0,0.0,2.0
gateway disc sports,sabre,7.0,5.0,-1.0,1.0
gateway disc sports,samurai,13.0,6.0,-2.0,1.0
gateway disc sports,shaman,3.0,3.0,-1.0,1.0
gateway disc sports,siren,13.0,5.0,-2.0,1.0
gateway disc sports,slayer,13.0,5.0,-1.0,2.0
gateway disc sports,speed demon,12.0,4.0,0.0,3.0
gateway disc sports,speed demon dt,12.0,4.0,0.0,3.0
gateway disc sports,spirit,12.0,4.0,0.0,4.0
gateway disc sports,voodoo,2.0,3.0,0.0,2.0
gateway disc sports,warlock,2.0,3.0,0.0,1.0
gateway disc sports,warspear,2.0,3.0,0.0,2.5
gateway disc sports,wizard,2.0,3.0,0.0,2.0
guru disc golf,fenris,13.0,5.0,-1.0,2.0
guru disc golf,midgard,6.0,5.0,-1.0,1.0
guru disc golf,mjolner,2.0,3.0,0.0,1.0
guru disc golf,sleipner,10.0,4.0,-1.0,2.0
guru disc golf,thor,4.0,4.0,0.0,2.0
infinite discs,anubis,5.0,5.0,0.0,0.0
infinite discs,chariot,5.0,5.0,0.0,1.0
infinite discs,exodus,7.0,5.0,-0.5,2.0
infinite discs,myth,2.0,3.0,0.0,2.0
infinite discs,pharaoh,13.0,6.0,-1.0,2.0
infinite discs,ra,5.0,4.0,0.0,3.0
infinite discs,slab,12.0,3.0,0.0,4.0
infinite discs,sphinx,9.0,6.0,-3.0,1.0
infinite discs,tomb,3.0,4.0,0.0,1.0
innova,ape,13.0,5.0,0.0,4.0
innova,aero,3.0,6.0,0.0,0.0
innova,archangel,8.0,6.0,-4.0,1.0
innova,archon,11.0,5.0,-2.0,2.0
innova,atlas,5.0,4.0,0.0,1.0
innova,aviar,2.0,3.0,0.0,1.0
innova,aviarx3,3.0,2.0,0.0,3.0
innova,aviar3,3.0,2.0,0.0,2.0
innova,aviar xd,3.0,4.0,-1.0,1.0
innova,banshee,7.0,3.0,0.0,3.0
innova,beast,10.0,5.0,-2.0,2.0
innova,birdie,1.0,2.0,0.0,0.0
